accession,protein_accession,collection_date,sgene_begin,sgene_end,location,region
MN908947.3,QHD43416.1,2019-12,21563,25384,China,Asia
NC_045512.2,YP_009724390.1,2019-12,21563,25384,China,Asia
MN985325.1,QHO60594.1,2020-01-19,21563,25384,USA,North America
MN975262.1,QHN73810.1,2020-01-11,21563,25384,China,Asia
MN938384.1,QHN73795.1,2020-01-10,21531,25352,China: Shenzhen,Asia
MN988713.1,QHO62877.1,2020-01-21,21563,25384,USA: Illinois,North America
MN997409.1,QHQ82464.1,2020-01-22,21563,25384,USA: AZ,North America
MN994468.1,QHQ71973.1,2020-01-22,21563,25384,USA: CA,North America
MN994467.1,QHQ71963.1,2020-01-23,21563,25384,USA: CA,North America
MN988669.1,QHO62112.1,2020-01-02,21562,25383,China,Asia
MN988668.1,QHO62107.1,2020-01-02,21562,25383,China,Asia
MN996531.1,QHR63290.2,2019-12-30,21550,25371,China: Wuhan,Asia
MN996530.1,QHR63280.2,2019-12-30,21549,25370,China: Wuhan,Asia
MN996529.1,QHR63270.2,2019-12-30,21551,25372,China: Wuhan,Asia
MN996528.1,QHR63260.2,2019-12-30,21563,25384,China: Wuhan,Asia
MN996527.1,QHR63250.2,2019-12-30,21530,25351,China: Wuhan,Asia
MT007544.1,QHR84449.1,2020-01-25,21563,25384,"Australia: Melbourne, Victoria",Oceania
MT020881.1,QHU79204.1,2020-01-25,21563,25384,USA: WA,North America
MT020880.1,QHU79194.1,2020-01-25,21563,25384,USA: WA,North America
MT020781.2,QHU79173.2,2020-01-29,21563,25384,Finland,Europe
MT019533.1,QHU36864.1,2020-01-01,21563,25384,"China: Hubei, Wuhan",Asia
MT019532.1,QHU36854.1,2019-12-30,21563,25384,"China: Hubei, Wuhan",Asia
MT019531.1,QHU36844.1,2019-12-30,21563,25384,"China: Hubei, Wuhan",Asia
MT019530.1,QHU36834.1,2019-12-30,21563,25384,"China: Hubei, Wuhan",Asia
MT019529.1,QHU36824.1,2019-12-23,21563,25384,"China: Hubei, Wuhan",Asia
MT027064.1,QHW06059.1,2020-01-29,21563,25384,USA: CA,North America
MT027063.1,QHW06049.1,2020-01-29,21563,25384,USA: CA,North America
MT027062.1,QHW06039.1,2020-01-29,21563,25384,USA: CA,North America
MT039890.1,QHZ00379.1,2020-01,21563,25384,South Korea,Asia
MT039888.1,QHZ00399.1,2020-01-29,21563,25384,USA: MA,North America
MT039887.1,QHZ00389.1,2020-01-31,21560,25381,USA: WI,North America
MT039873.1,QHZ00358.1,2020-01-20,21560,25381,China: Hangzhou,Asia
MT049951.1,QIA20044.1,2020-01-17,21563,25384,China: Yunnan,Asia
MT044258.1,QHZ87592.1,2020-01-27,21539,25360,USA: CA,North America
MT044257.1,QHZ87582.1,2020-01-28,21563,25384,USA: IL,North America
MT066176.1,QIA98606.1,2020-02-05,21563,25384,Taiwan,Asia
MT066175.1,QIA98596.1,2020-01-31,21563,25384,Taiwan,Asia
MT072688.1,QIB84673.1,2020-01-13,21548,25369,Nepal,Asia
MT093631.2,QIC53213.1,2020-01-08,21550,25371,China,Asia
